iterations,fitness,num_node,Concentrate gor amount,Concentrate waste amount,Tail gor amount,Tail waste amount,ppk gor,ppk conc,config,cores,runtime
8790,381.437,15,0,0,0,0,100,500,11-3-11-3-0-5-4-13-10-5-7-3-1-5-8-5-16-5-12-15-3-13-5-3-14-5-2-15-9-10-6,2,59.3757
16880,425.206,15,0,0,0,0,100,500,6-12-7-14-10-0-5-11-12-14-13-1-13-3-0-14-4-3-6-0-2-14-16-15-3-11-14-6-9-3-8,4,243.941
8270,358.996,15,0,0,0,0,100,500,4-1-4-7-9-12-11-7-15-1-12-16-14-8-14-3-13-1-0-7-8-8-6-12-5-8-10-15-1-12-2,8,65.3287
9847,425.206,15,0,0,0,0,100,500,3-9-4-13-6-6-8-1-2-3-5-2-14-13-9-11-4-9-0-1-12-9-16-9-10-1-3-15-1-2-7,16,64.9798
8222,383.201,15,0,0,0,0,100,500,2-13-14-9-16-0-7-0-2-9-11-9-10-0-8-9-12-14-4-0-3-9-1-9-5-6-7-15-0-13-9,32,23.125
9353,403.963,15,0,0,0,0,100,500,13-5-1-2-8-14-6-13-12-15-14-4-2-14-13-2-11-6-3-2-7-2-9-2-16-10-8-14-0-4-5,2,227.722
8254,398.764,15,0,0,0,0,100,500,11-13-3-6-11-4-9-4-2-6-1-10-13-10-5-4-16-4-7-4-8-15-6-6-14-5-0-10-4-6-12,4,35.7349
8452,417.714,15,0,0,0,0,100,500,2-8-10-2-5-10-7-14-13-12-1-7-4-0-2-11-3-15-0-14-16-8-11-8-14-14-9-14-1-0-6,8,56.8628
8323,398.764,15,0,0,0,0,100,500,1-3-9-8-12-8-1-8-2-13-3-4-10-14-5-3-16-13-14-3-11-3-0-3-7-8-6-15-8-13-4,16,10.6161
11397,392.882,15,0,0,0,0,100,500,10-14-3-6-10-9-3-1-2-11-12-7-14-7-5-15-6-14-16-14-12-5-0-14-8-10-13-10-4-6-1,32,97.9384
11442,381.437,15,0,0,0,0,100,500,13-10-4-10-3-5-13-10-16-10-12-6-14-15-11-10-0-14-7-5-2-5-9-15-5-10-1-5-8-6-10,2,76.3567
8689,398.764,15,0,0,0,0,100,500,9-14-12-2-0-13-14-2-5-3-16-2-9-3-8-3-6-3-4-2-1-3-7-13-3-11-10-15-2-13-11,4,36.8509
9374,398.764,15,0,0,0,0,100,500,1-2-5-14-8-15-14-11-13-11-16-2-11-5-9-14-1-14-12-11-3-11-4-14-7-0-6-11-10-2-0,8,22.4112
8330,401.004,15,0,0,0,0,100,500,13-6-14-0-8-13-9-15-6-3-0-0-2-3-4-0-12-0-5-10-8-0-7-0-16-0-11-4-1-6-13,16,42.0659
8273,398.764,15,0,0,0,0,100,500,7-9-5-2-10-6-14-9-11-8-1-9-16-15-8-8-4-6-2-8-13-14-12-9-0-9-3-8-7-6-9,32,10.1865
10825,403.963,15,0,0,0,0,100,500,4-4-8-11-3-11-13-11-16-10-14-10-4-11-1-15-10-9-13-11-6-7-12-10-5-7-11-5-0-12-2,2,234.848
8616,398.764,15,0,0,0,0,100,500,6-12-5-12-16-15-9-9-6-12-8-12-4-9-14-2-10-12-1-2-7-2-12-7-13-9-3-10-0-9-11,4,36.8259
9034,372.952,15,0,0,0,0,100,500,10-6-3-6-0-7-13-6-4-6-11-15-7-7-2-9-14-9-6-15-5-8-1-6-12-6-16-7-10-9-8,8,19.8254
8233,372.952,15,0,0,0,0,100,500,14-8-11-4-9-4-10-0-6-0-3-4-1-0-14-15-0-15-7-4-2-4-16-8-12-8-4-4-5-12-13,16,8.66153
8261,372.952,15,0,0,0,0,100,500,5-3-8-3-0-1-9-14-12-1-2-7-11-1-16-14-1-3-5-1-6-1-4-1-10-14-7-15-3-15-13,32,7.16317
9007,398.764,15,0,0,0,0,100,500,13-6-14-4-12-14-9-14-2-6-0-6-4-15-5-5-13-14-10-14-8-14-16-5-1-0-3-5-11-5-7,2,72.4413
9856,398.764,15,0,0,0,0,100,500,0-7-9-10-12-1-11-13-4-13-8-7-0-13-16-10-1-13-14-7-2-15-7-12-3-10-13-7-5-13-6,4,54.0352
8563,403.963,15,0,0,0,0,100,500,8-1-9-3-4-0-12-15-1-3-0-4-14-7-10-0-2-1-5-1-8-9-13-0-16-0-11-8-6-0-10,8,67.1875
8250,374.735,15,0,0,0,0,100,500,5-7-5-4-3-8-10-4-6-14-8-7-1-4-13-11-12-7-0-8-16-8-9-15-14-11-4-8-2-15-7,16,7.8776
8296,403.918,15,0,0,0,0,100,500,7-8-13-13-2-13-14-1-6-8-0-13-6-9-12-4-10-15-11-11-7-13-5-8-4-7-3-11-9-13-16,32,28.4998
16402,398.764,15,0,0,0,0,100,500,8-15-9-0-2-0-4-4-14-9-5-9-8-4-16-9-10-9-7-0-1-1-13-4-12-4-3-2-11-4-6,2,105.199
9765,381.437,15,0,0,0,0,100,500,9-12-7-15-3-3-9-10-13-12-16-12-11-13-5-12-8-12-4-3-6-15-1-12-0-3-14-10-12-3-2,4,34.176
8406,381.437,15,0,0,0,0,100,500,9-1-6-11-12-15-5-12-16-12-3-11-1-12-10-12-4-5-14-5-0-12-13-15-2-5-8-12-7-5-9,8,16.8308
9162,398.764,15,0,0,0,0,100,500,9-14-9-7-6-14-10-7-16-11-5-7-8-7-3-14-0-7-1-14-2-13-4-12-7-15-14-12-11-12-13,16,11.4791
8342,313.649,15,0,0,0,0,100,500,6-7-6-7-0-5-10-12-9-14-15-11-1-7-3-14-12-1-13-5-2-1-8-15-7-14-5-1-16-4-11,32,7.01402
15046,381.437,15,0,0,0,0,100,500,12-6-10-11-13-10-9-11-16-0-8-15-0-15-5-11-14-0-12-11-1-6-11-0-4-0-2-11-7-11-3,2,95.4463
14170,381.437,15,0,0,0,0,100,500,6-11-10-0-6-7-16-0-1-7-14-10-8-0-5-0-3-7-4-15-0-11-7-15-9-7-13-7-2-7-12,4,48.1912
8316,368.953,15,0,0,0,0,100,500,12-7-16-7-3-7-1-7-11-9-10-15-9-13-8-9-12-7-6-5-14-14-2-7-0-9-8-9-4-5-7,8,47.4824
8404,392.626,15,0,0,0,0,100,500,14-15-1-0-7-7-9-7-11-1-8-4-10-14-5-1-13-7-12-7-16-2-3-13-6-7-3-1-14-1-4,16,57.6889
8371,398.764,15,0,0,0,0,100,500,4-9-16-9-2-9-8-9-0-6-12-11-10-7-11-15-6-9-3-6-13-14-1-7-14-6-5-6-4-7-9,32,10.1496
14067,398.764,15,0,0,0,0,100,500,3-7-14-5-0-6-12-6-2-7-8-9-7-9-13-6-10-7-11-15-6-6-3-7-16-13-1-9-5-7-4,2,90.4082
11122,372.952,15,0,0,0,0,100,500,2-8-9-7-11-0-5-8-0-9-14-9-13-9-10-8-3-15-12-7-1-9-4-7-2-15-7-9-6-9-16,4,34.6834
9065,368.701,15,0,0,0,0,100,500,8-3-8-13-7-1-11-6-13-13-16-9-2-15-12-13-4-3-9-13-10-13-11-13-14-15-3-3-0-0-5,8,82.1265
8633,398.764,15,0,0,0,0,100,500,8-15-12-10-6-14-1-11-4-11-5-11-13-11-3-12-8-12-9-12-2-0-11-12-7-0-14-11-16-0-10,16,11.0803
8751,374.735,15,0,0,0,0,100,500,11-5-10-6-3-6-7-6-16-15-9-4-6-9-12-6-1-14-0-13-14-5-2-14-8-9-11-15-4-13-5,32,8.08642
9071,398.764,15,0,0,0,0,100,500,2-8-2-3-5-8-14-4-12-15-8-12-6-12-13-12-16-4-9-4-3-12-7-9-1-8-0-12-10-8-11,2,72.6128
8447,363.701,15,0,0,0,0,100,500,12-2-5-10-14-10-1-2-13-2-9-2-7-11-2-2-4-15-10-2-16-11-6-15-8-2-0-12-14-2-3,4,105.126
8595,317.629,15,0,0,0,0,100,500,12-3-12-0-11-3-8-14-13-0-1-14-0-14-15-5-9-13-7-0-4-3-2-0-16-3-10-14-5-6-3,8,20.0499
8617,398.764,15,0,0,0,0,100,500,6-13-11-10-0-10-6-8-4-8-14-8-16-10-1-8-3-10-2-15-10-9-13-12-7-9-8-9-12-8-5,16,13.0946
8913,372.952,15,0,0,0,0,100,500,14-2-14-9-4-13-10-15-2-9-16-13-9-9-7-9-1-2-0-2-8-13-5-9-12-9-6-15-3-5-11,32,7.62768
8854,397.459,15,0,0,0,0,100,500,10-4-12-3-7-3-1-0-14-15-0-3-2-3-16-3-6-3-5-3-11-0-9-3-13-4-3-8-9-0-10,2,245.266
8458,398.764,15,0,0,0,0,100,500,1-5-14-0-9-7-3-10-6-10-11-15-0-10-12-5-10-14-2-0-8-0-13-10-16-10-4-0-1-5-7,4,36.2945
8387,398.764,15,0,0,0,0,100,500,12-6-2-3-7-6-5-0-9-0-14-6-3-15-0-3-16-3-1-0-12-3-8-3-10-0-4-5-11-2-13,8,19.7209
8326,368.953,15,0,0,0,0,100,500,0-6-13-14-13-8-4-6-2-5-7-6-0-10-8-5-9-10-5-5-11-15-6-5-12-5-16-5-1-6-3,16,25.5102
8193,398.764,15,0,0,0,0,100,500,4-8-11-9-0-9-6-15-9-9-1-2-14-9-4-2-10-3-12-3-8-2-5-12-13-3-2-2-7-2-16,32,9.90424
9348,398.764,15,0,0,0,0,100,500,12-14-12-14-0-1-16-1-9-10-1-1-3-14-13-10-4-4-11-1-2-15-14-1-5-14-6-7-8-10-7,2,74.5733
8777,403.673,15,0,0,0,0,100,500,1-13-3-4-6-6-11-13-5-12-7-6-2-13-0-12-13-13-9-13-16-4-1-8-5-15-14-4-10-15-4,4,102.988
8493,398.764,15,0,0,0,0,100,500,3-4-16-4-10-5-12-5-2-5-13-8-7-4-9-8-11-15-5-4-0-4-6-8-4-7-14-5-3-11-1,8,20.1748
8296,313.649,15,0,0,0,0,100,500,2-15-12-9-10-12-1-7-11-8-0-6-16-12-14-0-6-4-15-4-7-7-3-6-13-4-9-6-5-12-2,16,9.31891
8321,374.735,15,0,0,0,0,100,500,1-7-11-4-5-15-12-8-0-2-9-8-14-7-16-4-10-12-7-2-8-4-1-7-13-15-4-7-6-8-3,32,7.81284
8611,398.764,15,0,0,0,0,100,500,6-1-5-12-14-10-4-13-0-10-7-14-2-13-3-10-8-10-9-10-16-13-11-13-6-15-13-12-1-12-10,2,69.8318
15195,425.206,15,0,0,0,0,100,500,2-6-10-11-9-3-11-4-14-15-3-6-16-3-7-3-2-6-5-8-10-2-12-14-13-11-1-6-0-4-6,4,208.76
11246,426.096,15,0,0,0,0,100,500,4-12-1-4-10-15-14-2-12-12-11-8-4-12-16-8-5-2-3-4-13-4-9-12-0-8-7-6-1-15-8,8,84.26
9084,383.201,15,0,0,0,0,100,500,10-11-7-15-5-11-16-11-8-11-2-1-6-1-11-12-0-11-13-6-3-5-0-5-14-5-9-11-4-5-10,16,30.0196
8280,392.626,15,0,0,0,0,100,500,9-6-1-14-8-11-13-14-12-10-7-15-6-5-14-9-2-14-4-6-11-6-9-6-0-14-16-3-4-6-10,32,38.842
13230,374.735,15,0,0,0,0,100,500,0-3-2-13-10-4-6-11-14-7-13-3-0-4-9-15-3-13-16-4-1-13-12-15-7-13-8-3-5-11-4,2,72.6186
8958,381.437,15,0,0,0,0,100,500,4-3-4-15-3-12-5-8-7-3-6-12-13-7-14-8-12-15-1-3-0-12-11-12-16-3-9-12-10-12-2,4,42.4189
8842,398.764,15,0,0,0,0,100,500,13-11-16-5-11-10-13-1-4-11-8-15-10-7-3-5-1-11-9-11-12-5-7-10-2-11-0-10-14-10-6,8,21.5883
8328,417.714,15,0,0,0,0,100,500,8-6-8-4-10-13-9-5-12-12-14-15-6-5-3-13-11-3-4-8-1-7-9-13-16-5-13-6-0-13-2,16,29.0862
8331,398.764,15,0,0,0,0,100,500,8-7-10-2-4-14-3-14-8-2-9-2-1-2-5-12-11-14-13-2-16-11-6-12-2-15-14-14-0-12-7,32,10.0933
